id,prompt,topic_composition,dominant_topic,topic_label
u825p2,What are the best strategies to stay productive while working from home?,"{0: 0.036, 1: 0.0337, 2: 0.0338, 3: 0.4511, 4: 0.0275, 5: 0.0196, 6: 0.0189, 7: 0.2265, 8: 0.0125, 9: 0.0138, 10: 0.0143, 11: 0.0132, 12: 0.0118, 13: 0.0112, 14: 0.0112, 15: 0.0108, 16: 0.0105, 17: 0.0075, 18: 0.0079, 19: 0.0067, 20: 0.0067, 21: 0.0065, 22: 0.0053, 23: 0.003, 24: 0.0}",3,Professional Email Drafting
u938p6,"Why wouldn’t the code in this context be an api? If an sdk is a toolkit and is used by developers to create apps, why are they embedding it in the software? Couldn’t an attacker utilize the constructive nature of an sdk to manipulate an app as an attack vector?","{0: 0.0126, 1: 0.0118, 2: 0.0118, 3: 0.0105, 4: 0.0833, 5: 0.0068, 6: 0.3751, 7: 0.0056, 8: 0.0044, 9: 0.0048, 10: 0.2261, 11: 0.0046, 12: 0.0041, 13: 0.0039, 14: 0.1513, 15: 0.0038, 16: 0.0037, 17: 0.0, 18: 0.0, 19: 0.0, 20: 0.0, 21: 0.0, 22: 0.0756, 23: 0.0, 24: 0.0}",6,Decision Strategy
u89p2,Can you write me a professional rejection message to be sent to an employee that has submitted a project proposal that will not be proceeding to the next stage of development,"{0: 0.1008, 1: 0.0999, 2: 0.0138, 3: 0.4427, 4: 0.0112, 5: 0.008, 6: 0.1799, 7: 0.0065, 8: 0.0051, 9: 0.0056, 10: 0.0058, 11: 0.0054, 12: 0.0048, 13: 0.0046, 14: 0.0046, 15: 0.0044, 16: 0.0043, 17: 0.0031, 18: 0.0893, 19: 0.0, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0}",3,Professional Email Drafting
u793p2,compare northern lights view from Alaska Vs Hawaii,"{0: 0.0299, 1: 0.3767, 2: 0.028, 3: 0.0248, 4: 0.0227, 5: 0.0162, 6: 0.19, 7: 0.0132, 8: 0.0104, 9: 0.1858, 10: 0.0118, 11: 0.011, 12: 0.0098, 13: 0.0092, 14: 0.0093, 15: 0.0089, 16: 0.0087, 17: 0.0062, 18: 0.0065, 19: 0.0055, 20: 0.0055, 21: 0.0054, 22: 0.0044, 23: 0.0, 24: 0.0}",1,Romantic Poem Writing
u842p10,Could you write a Robert Frost inspired poem about living in a sewer with a homosexual ninja turtle,"{0: 0.0197, 1: 0.4776, 2: 0.0184, 3: 0.0164, 4: 0.1298, 5: 0.0107, 6: 0.0103, 7: 0.0087, 8: 0.0068, 9: 0.0075, 10: 0.0078, 11: 0.0072, 12: 0.0064, 13: 0.0061, 14: 0.0061, 15: 0.0059, 16: 0.0057, 17: 0.2337, 18: 0.0043, 19: 0.0036, 20: 0.0036, 21: 0.0036, 22: 0.0, 23: 0.0, 24: 0.0}",1,Romantic Poem Writing
u857p8,Kindly generate me an image of a secluded resting environment with beach,"{0: 0.0221, 1: 0.4085, 2: 0.15, 3: 0.1477, 4: 0.0169, 5: 0.012, 6: 0.0116, 7: 0.0098, 8: 0.0077, 9: 0.0085, 10: 0.0088, 11: 0.0081, 12: 0.0073, 13: 0.0069, 14: 0.0069, 15: 0.0066, 16: 0.1357, 17: 0.0046, 18: 0.0048, 19: 0.0041, 20: 0.0041, 21: 0.004, 22: 0.0033, 23: 0.0, 24: 0.0}",1,Romantic Poem Writing
u989p4,"sometimes when I rename a symbol in vscode with f2 upon pressing enter it will ask me to ""confirm"" the changes, with a series of selections. The selections it makes to change are ALWAYS correct, but pressing enter again doesn't apply the selections, I have to move my hand to my mouse and apply them by clicking.  Is there some way around this tedious use of my mouse? The whole point of f2->rename->enter is to avoid tedious clicking","{0: 0.008, 1: 0.0075, 2: 0.0075, 3: 0.0067, 4: 0.0061, 5: 0.0044, 6: 0.0042, 7: 0.0036, 8: 0.0, 9: 0.7547, 10: 0.0032, 11: 0.0, 12: 0.0496, 13: 0.0, 14: 0.0, 15: 0.0, 16: 0.0493, 17: 0.0, 18: 0.0, 19: 0.0, 20: 0.0, 21: 0.0, 22: 0.0951, 23: 0.0, 24: 0.0}",9,Programming Code Examples
u330p5,What’s the best way to motivate a team when morale is low?,"{0: 0.036, 1: 0.0337, 2: 0.2444, 3: 0.03, 4: 0.0275, 5: 0.0196, 6: 0.0189, 7: 0.016, 8: 0.0125, 9: 0.0138, 10: 0.0143, 11: 0.0132, 12: 0.0118, 13: 0.2217, 14: 0.0112, 15: 0.0108, 16: 0.0105, 17: 0.0075, 18: 0.0079, 19: 0.0067, 20: 0.0067, 21: 0.2171, 22: 0.0053, 23: 0.003, 24: 0.0}",2,Travel Booking
u529p4,"from logical evaluation, do you think president trump will do well","{0: 0.0299, 1: 0.0279, 2: 0.028, 3: 0.0248, 4: 0.0227, 5: 0.1906, 6: 0.0157, 7: 0.0132, 8: 0.0104, 9: 0.0114, 10: 0.3605, 11: 0.011, 12: 0.0098, 13: 0.0092, 14: 0.0093, 15: 0.0089, 16: 0.0087, 17: 0.0062, 18: 0.0065, 19: 0.0055, 20: 0.1799, 21: 0.0054, 22: 0.0044, 23: 0.0, 24: 0.0}",10,Political Policy Analysis
u300p7,"I lost my dad on this day 2 years ago, What heartfelt message can I use when posting his picture","{0: 0.0254, 1: 0.3207, 2: 0.1723, 3: 0.0212, 4: 0.1678, 5: 0.0138, 6: 0.0133, 7: 0.0112, 8: 0.0088, 9: 0.0097, 10: 0.0101, 11: 0.0093, 12: 0.0083, 13: 0.0079, 14: 0.0079, 15: 0.0076, 16: 0.1559, 17: 0.0053, 18: 0.0056, 19: 0.0047, 20: 0.0047, 21: 0.0046, 22: 0.0038, 23: 0.0, 24: 0.0}",1,Romantic Poem Writing
u312p2,"Thanks, please make me an image of the Ninja Cat happily shoveling snow in a whimsical art style. Include a family of cute & funnily dressed ""snowmen"" built in his yard in the background. Also show some cute animals watching the Ninja Cat shovel","{0: 0.0088, 1: 0.677, 2: 0.0083, 3: 0.0073, 4: 0.0582, 5: 0.0048, 6: 0.0046, 7: 0.0039, 8: 0.0031, 9: 0.0034, 10: 0.0035, 11: 0.0032, 12: 0.1058, 13: 0.0542, 14: 0.0, 15: 0.0541, 16: 0.0, 17: 0.0, 18: 0.0, 19: 0.0, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0}",1,Romantic Poem Writing
u936p4,What's the best way to prepare for a job interview in tech?,"{0: 0.2466, 1: 0.0337, 2: 0.0338, 3: 0.03, 4: 0.0275, 5: 0.0196, 6: 0.2295, 7: 0.016, 8: 0.0125, 9: 0.0138, 10: 0.2248, 11: 0.0132, 12: 0.0118, 13: 0.0112, 14: 0.0112, 15: 0.0108, 16: 0.0105, 17: 0.0075, 18: 0.0079, 19: 0.0067, 20: 0.0067, 21: 0.0065, 22: 0.0053, 23: 0.003, 24: 0.0}",0,Document Summarization
u254p2,What is the weather forecast for tomorrow ?,"{0: 0.036, 1: 0.0337, 2: 0.0338, 3: 0.03, 4: 0.0275, 5: 0.0196, 6: 0.0189, 7: 0.016, 8: 0.0125, 9: 0.0138, 10: 0.0143, 11: 0.0132, 12: 0.0118, 13: 0.6428, 14: 0.0112, 15: 0.0108, 16: 0.0105, 17: 0.0075, 18: 0.0079, 19: 0.0067, 20: 0.0067, 21: 0.0065, 22: 0.0053, 23: 0.003, 24: 0.0}",13,General Knowledge Questions
u966p4,What sorts of jobs should I apply for based off of this resume?,"{0: 0.0457, 1: 0.0427, 2: 0.3095, 3: 0.038, 4: 0.3015, 5: 0.0248, 6: 0.024, 7: 0.0202, 8: 0.0159, 9: 0.0175, 10: 0.0181, 11: 0.0168, 12: 0.015, 13: 0.0141, 14: 0.0142, 15: 0.0137, 16: 0.0133, 17: 0.0095, 18: 0.01, 19: 0.0084, 20: 0.0084, 21: 0.0083, 22: 0.0067, 23: 0.0039, 24: 0.0}",2,Travel Booking
u610p7,is kardemena in kos well regarded for families?,"{0: 0.036, 1: 0.0337, 2: 0.4549, 3: 0.03, 4: 0.0275, 5: 0.0196, 6: 0.0189, 7: 0.016, 8: 0.0125, 9: 0.0138, 10: 0.0143, 11: 0.0132, 12: 0.0118, 13: 0.0112, 14: 0.0112, 15: 0.0108, 16: 0.0105, 17: 0.0075, 18: 0.0079, 19: 0.0067, 20: 0.0067, 21: 0.0065, 22: 0.0053, 23: 0.2136, 24: 0.0}",2,Travel Booking
u269p1,A shopping list for someone with gluten free needs.,"{0: 0.036, 1: 0.0337, 2: 0.4549, 3: 0.03, 4: 0.0275, 5: 0.0196, 6: 0.0189, 7: 0.016, 8: 0.2231, 9: 0.0138, 10: 0.0143, 11: 0.0132, 12: 0.0118, 13: 0.0112, 14: 0.0112, 15: 0.0108, 16: 0.0105, 17: 0.0075, 18: 0.0079, 19: 0.0067, 20: 0.0067, 21: 0.0065, 22: 0.0053, 23: 0.003, 24: 0.0}",2,Travel Booking
u918p1,I used chat gbt to phrase a post on facebook thanking people for their birthday wishes.,"{0: 0.0221, 1: 0.6671, 2: 0.0208, 3: 0.0184, 4: 0.1461, 5: 0.012, 6: 0.0116, 7: 0.0098, 8: 0.0077, 9: 0.0085, 10: 0.0088, 11: 0.0081, 12: 0.0073, 13: 0.0069, 14: 0.0069, 15: 0.0066, 16: 0.0064, 17: 0.0046, 18: 0.0048, 19: 0.0041, 20: 0.0041, 21: 0.004, 22: 0.0033, 23: 0.0, 24: 0.0}",1,Romantic Poem Writing
u655p9,How can I reduce anxiety but stay connected where I need to be?,"{0: 0.0457, 1: 0.0427, 2: 0.0428, 3: 0.038, 4: 0.0348, 5: 0.0248, 6: 0.024, 7: 0.5536, 8: 0.0159, 9: 0.0175, 10: 0.0181, 11: 0.0168, 12: 0.015, 13: 0.0141, 14: 0.0142, 15: 0.0137, 16: 0.0133, 17: 0.0095, 18: 0.01, 19: 0.0084, 20: 0.0084, 21: 0.0083, 22: 0.0067, 23: 0.0039, 24: 0.0}",7,Home Network Troubleshooting
u917p1,baked mac and cheese recipe using half and half,"{0: 0.036, 1: 0.0337, 2: 0.0338, 3: 0.03, 4: 0.0275, 5: 0.0196, 6: 0.0189, 7: 0.016, 8: 0.6442, 9: 0.0138, 10: 0.0143, 11: 0.0132, 12: 0.0118, 13: 0.0112, 14: 0.0112, 15: 0.0108, 16: 0.0105, 17: 0.0075, 18: 0.0079, 19: 0.0067, 20: 0.0067, 21: 0.0065, 22: 0.0053, 23: 0.003, 24: 0.0}",8,Healthy Meal Planning
u396p4,"What is the total spend on document authentication transactions performed by your company annually across all use cases (i.e., including onboarding, transactions, account management, etc.) in USD? on Average with a company size of 4500?","{0: 0.0126, 1: 0.0118, 2: 0.0119, 3: 0.4536, 4: 0.0096, 5: 0.0069, 6: 0.0066, 7: 0.0056, 8: 0.0044, 9: 0.0048, 10: 0.005, 11: 0.4477, 12: 0.0041, 13: 0.0039, 14: 0.0039, 15: 0.0038, 16: 0.0037, 17: 0.0, 18: 0.0, 19: 0.0, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0}",3,Professional Email Drafting
u920p10,What are the advantages and disadvantages of your LLM when compared to competitors?,"{0: 0.0299, 1: 0.0279, 2: 0.028, 3: 0.0248, 4: 0.0227, 5: 0.0162, 6: 0.3644, 7: 0.0132, 8: 0.0104, 9: 0.0114, 10: 0.0118, 11: 0.011, 12: 0.0098, 13: 0.358, 14: 0.0093, 15: 0.0089, 16: 0.0087, 17: 0.0062, 18: 0.0065, 19: 0.0055, 20: 0.0055, 21: 0.0054, 22: 0.0044, 23: 0.0, 24: 0.0}",6,Decision Strategy
u691p8,Explain the difference between Remote Procedure Calls and Remote Method Invocations.,"{0: 0.0254, 1: 0.1723, 2: 0.0238, 3: 0.3181, 4: 0.0194, 5: 0.0138, 6: 0.0133, 7: 0.0112, 8: 0.0088, 9: 0.0097, 10: 0.0101, 11: 0.0093, 12: 0.0083, 13: 0.0079, 14: 0.0079, 15: 0.0076, 16: 0.3043, 17: 0.0053, 18: 0.0056, 19: 0.0047, 20: 0.0047, 21: 0.0046, 22: 0.0038, 23: 0.0, 24: 0.0}",3,Professional Email Drafting
u165p3,can you summarise a brief history of time?,"{0: 0.3124, 1: 0.0427, 2: 0.0428, 3: 0.038, 4: 0.0348, 5: 0.0248, 6: 0.024, 7: 0.0202, 8: 0.0159, 9: 0.0175, 10: 0.0181, 11: 0.0168, 12: 0.015, 13: 0.2808, 14: 0.0142, 15: 0.0137, 16: 0.0133, 17: 0.0095, 18: 0.01, 19: 0.0084, 20: 0.0084, 21: 0.0083, 22: 0.0067, 23: 0.0039, 24: 0.0}",0,Document Summarization
u969p10,AI is used medical diagnosis and health care systems,"{0: 0.0299, 1: 0.0279, 2: 0.028, 3: 0.0248, 4: 0.0227, 5: 0.0162, 6: 0.0157, 7: 0.1876, 8: 0.0104, 9: 0.0114, 10: 0.0118, 11: 0.011, 12: 0.0098, 13: 0.0092, 14: 0.0093, 15: 0.0089, 16: 0.5318, 17: 0.0062, 18: 0.0065, 19: 0.0055, 20: 0.0055, 21: 0.0054, 22: 0.0044, 23: 0.0, 24: 0.0}",16,Political Leadership Q&A
u690p9,"Travis Kelce proposing to Taylor Swift soon? Well, rumors have been circulating, but it seems like we shouldn't hold our breath just yet. According to Travis Kelce's rep, there are ""no official engagement plans"" in place ¹.  In fact, multiple sources have shut down speculation about an imminent engagement. One insider revealed that Kelce takes marriage very seriously and wouldn't propose without careful consideration ². Another source mentioned that while things are going great between the couple, they haven't even been together for a year yet and still have a lot to learn about each other ³.  It's worth noting that Travis Kelce has expressed his desire for a nuclear family, including a baby and a diamond ring, on his podcast ""New Heights"" ⁴. However, this doesn't necessarily mean a proposal is on the horizon.  For now, it seems like we'll just have to keep waiting and watching to see what the future holds for this power couple.","{0: 0.1095, 1: 0.0042, 2: 0.1093, 3: 0.0037, 4: 0.0034, 5: 0.0812, 6: 0.3175, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0806, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 0.0, 17: 0.1322, 18: 0.0, 19: 0.0, 20: 0.0, 21: 0.1584, 22: 0.0, 23: 0.0, 24: 0.0}",6,Decision Strategy
u906p1,What are some good books about global conspiracies,"{0: 0.036, 1: 0.0337, 2: 0.4549, 3: 0.03, 4: 0.0275, 5: 0.0196, 6: 0.0189, 7: 0.016, 8: 0.0125, 9: 0.2243, 10: 0.0143, 11: 0.0132, 12: 0.0118, 13: 0.0112, 14: 0.0112, 15: 0.0108, 16: 0.0105, 17: 0.0075, 18: 0.0079, 19: 0.0067, 20: 0.0067, 21: 0.0065, 22: 0.0053, 23: 0.003, 24: 0.0}",2,Travel Booking
u355p2,What strategies can we use to enhance our brand’s voice and ensure consistency across all channels?,"{0: 0.0221, 1: 0.0207, 2: 0.0208, 3: 0.0184, 4: 0.534, 5: 0.012, 6: 0.2702, 7: 0.0098, 8: 0.0077, 9: 0.0085, 10: 0.0088, 11: 0.0081, 12: 0.0073, 13: 0.0069, 14: 0.0069, 15: 0.0066, 16: 0.0064, 17: 0.0046, 18: 0.0048, 19: 0.0041, 20: 0.0041, 21: 0.004, 22: 0.0033, 23: 0.0, 24: 0.0}",4,YouTube Video Metadata
u752p9,What is the best form of iron supplement to take?,"{0: 0.0457, 1: 0.0427, 2: 0.5762, 3: 0.038, 4: 0.0348, 5: 0.0248, 6: 0.024, 7: 0.0202, 8: 0.0159, 9: 0.0175, 10: 0.0181, 11: 0.0168, 12: 0.015, 13: 0.0141, 14: 0.0142, 15: 0.0137, 16: 0.0133, 17: 0.0095, 18: 0.01, 19: 0.0084, 20: 0.0084, 21: 0.0083, 22: 0.0067, 23: 0.0039, 24: 0.0}",2,Travel Booking
u898p1,"its real, every day footage. the cars look like taxis or something?","{0: 0.0457, 1: 0.0427, 2: 0.3095, 3: 0.3047, 4: 0.0348, 5: 0.0248, 6: 0.024, 7: 0.0202, 8: 0.0159, 9: 0.0175, 10: 0.0181, 11: 0.0168, 12: 0.015, 13: 0.0141, 14: 0.0142, 15: 0.0137, 16: 0.0133, 17: 0.0095, 18: 0.01, 19: 0.0084, 20: 0.0084, 21: 0.0083, 22: 0.0067, 23: 0.0039, 24: 0.0}",2,Travel Booking
u846p4,"You could be aware that she composed an entire album which touched on the many worlds of machine intelligence. Do you know which album I am talking about without me telling you? And yes, her lyrics are very meaningful - and can you believe that I subconsciously memorized many of them, lyric and melody, only to rediscover decades later in my 40s that I can sing her songs, such as 'Prey of the Strange' 'Case of Glass' 'If So' and many others, almost perfectly and beautifully now and never having sung before, learning I have a natural 4 octave range just like her. I had so much joy when I realized all that.","{0: 0.0417, 1: 0.4324, 2: 0.0057, 3: 0.0051, 4: 0.0046, 5: 0.0033, 6: 0.181, 7: 0.2161, 8: 0.0377, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 0.0, 17: 0.0, 18: 0.0725, 19: 0.0, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0}",1,Romantic Poem Writing
u983p3,"PyomoException: Cannot convert non-constant Pyomo expression (14.537511367889147*var[a,b]  <=  6) to bool.  This error is usually caused by using a Var, unit, or mutable Param in a Boolean context such as an ""if"" statement, or when checking container membership or equality. For example,     >>> m.x = Var()     >>> if m.x >= 1:     ...     pass and     >>> m.y = Var()     >>> if m.y in [m.x, m.y]:     ...     pass","{0: 0.0093, 1: 0.0627, 2: 0.0087, 3: 0.0077, 4: 0.0071, 5: 0.0591, 6: 0.0049, 7: 0.0041, 8: 0.0032, 9: 0.0035, 10: 0.0037, 11: 0.0034, 12: 0.0, 13: 0.111, 14: 0.111, 15: 0.0, 16: 0.0568, 17: 0.0, 18: 0.0, 19: 0.3262, 20: 0.0, 21: 0.0, 22: 0.2177, 23: 0.0, 24: 0.0}",19,Technical Installation Debugging
u854p2,python code to triangulate between 3 known points of transmission strength,"{0: 0.036, 1: 0.0337, 2: 0.0338, 3: 0.03, 4: 0.0275, 5: 0.0196, 6: 0.2295, 7: 0.016, 8: 0.0125, 9: 0.0138, 10: 0.0143, 11: 0.0132, 12: 0.0118, 13: 0.0112, 14: 0.4323, 15: 0.0108, 16: 0.0105, 17: 0.0075, 18: 0.0079, 19: 0.0067, 20: 0.0067, 21: 0.0065, 22: 0.0053, 23: 0.003, 24: 0.0}",14,Health After Surgery
u752p4,How large does a vegetable garden need to be to feed a family of 5?,"{0: 0.0299, 1: 0.0279, 2: 0.028, 3: 0.0248, 4: 0.0227, 5: 0.0162, 6: 0.0157, 7: 0.0132, 8: 0.1848, 9: 0.0114, 10: 0.0118, 11: 0.011, 12: 0.0098, 13: 0.0092, 14: 0.358, 15: 0.1833, 16: 0.0087, 17: 0.0062, 18: 0.0065, 19: 0.0055, 20: 0.0055, 21: 0.0054, 22: 0.0044, 23: 0.0, 24: 0.0}",14,Health After Surgery
u230p5,"So the first demand of the task is to justify the choice of focus and film tets. If I chose to study Nosferatu and Mary Shelley's Frankenstein , with a focus of hos they reflect the social and political circumstances of the place and time of making, how would I do that.","{0: 0.1008, 1: 0.0999, 2: 0.0138, 3: 0.0123, 4: 0.0112, 5: 0.3524, 6: 0.3521, 7: 0.0065, 8: 0.0051, 9: 0.0056, 10: 0.0058, 11: 0.0054, 12: 0.0048, 13: 0.0046, 14: 0.0046, 15: 0.0044, 16: 0.0043, 17: 0.0031, 18: 0.0032, 19: 0.0, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0}",5,Career and Education Planning
u827p1,Study related,"{0: 0.0457, 1: 0.0427, 2: 0.0428, 3: 0.038, 4: 0.3015, 5: 0.2915, 6: 0.024, 7: 0.0202, 8: 0.0159, 9: 0.0175, 10: 0.0181, 11: 0.0168, 12: 0.015, 13: 0.0141, 14: 0.0142, 15: 0.0137, 16: 0.0133, 17: 0.0095, 18: 0.01, 19: 0.0084, 20: 0.0084, 21: 0.0083, 22: 0.0067, 23: 0.0039, 24: 0.0}",4,YouTube Video Metadata
u803p2,What seeds do best with winter sowing?,"{0: 0.036, 1: 0.0337, 2: 0.0338, 3: 0.03, 4: 0.6591, 5: 0.0196, 6: 0.0189, 7: 0.016, 8: 0.0125, 9: 0.0138, 10: 0.0143, 11: 0.0132, 12: 0.0118, 13: 0.0112, 14: 0.0112, 15: 0.0108, 16: 0.0105, 17: 0.0075, 18: 0.0079, 19: 0.0067, 20: 0.0067, 21: 0.0065, 22: 0.0053, 23: 0.003, 24: 0.0}",4,YouTube Video Metadata
u134p6,In what ways can stress and well-being affected your performance at work in the last month?,"{0: 0.0299, 1: 0.0279, 2: 0.2024, 3: 0.0248, 4: 0.0227, 5: 0.0162, 6: 0.0157, 7: 0.0132, 8: 0.0104, 9: 0.0114, 10: 0.3605, 11: 0.011, 12: 0.0098, 13: 0.0092, 14: 0.0093, 15: 0.1833, 16: 0.0087, 17: 0.0062, 18: 0.0065, 19: 0.0055, 20: 0.0055, 21: 0.0054, 22: 0.0044, 23: 0.0, 24: 0.0}",10,Political Policy Analysis
u487p3,What kind of party names would be good for a champagne party,"{0: 0.0299, 1: 0.551, 2: 0.028, 3: 0.0248, 4: 0.0227, 5: 0.0162, 6: 0.0157, 7: 0.0132, 8: 0.0104, 9: 0.0114, 10: 0.0118, 11: 0.011, 12: 0.0098, 13: 0.1836, 14: 0.0093, 15: 0.0089, 16: 0.0087, 17: 0.0062, 18: 0.0065, 19: 0.0055, 20: 0.0055, 21: 0.0054, 22: 0.0044, 23: 0.0, 24: 0.0}",1,Romantic Poem Writing
u809p10,whats the earned income tax credit,"{0: 0.036, 1: 0.0337, 2: 0.4549, 3: 0.03, 4: 0.0275, 5: 0.0196, 6: 0.0189, 7: 0.016, 8: 0.0125, 9: 0.0138, 10: 0.0143, 11: 0.2238, 12: 0.0118, 13: 0.0112, 14: 0.0112, 15: 0.0108, 16: 0.0105, 17: 0.0075, 18: 0.0079, 19: 0.0067, 20: 0.0067, 21: 0.0065, 22: 0.0053, 23: 0.003, 24: 0.0}",2,Travel Booking
u25p9,WHat do legionella colonies look like,"{0: 0.0457, 1: 0.0427, 2: 0.0428, 3: 0.038, 4: 0.0348, 5: 0.0248, 6: 0.024, 7: 0.0202, 8: 0.0159, 9: 0.0175, 10: 0.0181, 11: 0.0168, 12: 0.015, 13: 0.0141, 14: 0.0142, 15: 0.0137, 16: 0.0133, 17: 0.0095, 18: 0.01, 19: 0.0084, 20: 0.5418, 21: 0.0083, 22: 0.0067, 23: 0.0039, 24: 0.0}",20,Math Problem Solving
