topic_id,topic_label,social_class,rank,s3_theta_rank,theta,query
0,International Organization Research,Lower class,17,,0.8035,"why in 90s video footage of dean street, soho, london, do i see a bunch of old timey cars"
0,International Organization Research,Lower class,18,,0.8035,Brainstorm me ideas for a new workout routine for the month of January.
0,International Organization Research,Lower class,19,,0.8035,What are the qualifications for MSP medicare savings plan for a senior citizen on SSDI in North Carolina
0,International Organization Research,Lower class,20,,0.8035,Please make it more like she's panicked and in the middle of a fight in a campaign.
0,International Organization Research,Middle class,1,0.0,0.8945,"If government gave more money to Military, how will that affect my personal consumption and labor market (such as job search and working hours)"
0,International Organization Research,Middle class,2,1.0,0.8837,Research and create brief notes on the following international organizations: Intergovernmental Authority on Development (IGAD).
0,International Organization Research,Middle class,3,,0.8705,Draft a summary of AI benefits and risks in the field of business communication.
0,International Organization Research,Middle class,4,,0.8539,suggestions for exceptional and supportive experience for research degree applicants
0,International Organization Research,Middle class,5,,0.8539,Write an informative blog post on the importance of dental hygiene.
0,International Organization Research,Middle class,6,,0.8449,"Assess the readability of the Summary 2 in terms of ease of understanding and clarity. It could be unclear due to poor formatting, very technical or ambiguous language, use of very long or complex sentences, etc"
0,International Organization Research,Middle class,7,,0.8324,how could joining a club help a college student grow in more ways than just personally
0,International Organization Research,Middle class,8,,0.8324,Can you suggest some engaging books or articles on personal development?
0,International Organization Research,Middle class,9,,0.8324,"what are the main points in Lacan's essay ""the agency of the letter in the unconscious or reason"""
0,International Organization Research,Middle class,10,,0.8324,Give 6 science Fair questions  They have two format options   They can either be Does X affect Y or How does X affect Y
0,International Organization Research,Middle class,11,,0.8324,Explain the difference between machine learning and artificial intelligence.
0,International Organization Research,Middle class,12,,0.8035,She rubbed her nose roughly on her sleeve. Re-write this sentence without using the word roughly
0,International Organization Research,Middle class,13,,0.8035,Can you explain the details surrounding the assassination of U.S. President John F. Kennedy in 3 or more sentences
0,International Organization Research,Middle class,14,,0.8035,What's the difference between machine learning and artificial intelligence?
0,International Organization Research,Middle class,15,,0.8035,is it wise to invest in bitcoin at the moment?
0,International Organization Research,Middle class,16,,0.8035,How do you think artificial intelligence will impact various industries in the future?
0,International Organization Research,Middle class,17,,0.8035,If you added up all the money from every billionaire in the United States and split it between every American over the age of 18 how much would each person get?
0,International Organization Research,Middle class,18,,0.8035,Write a 200 words essay on the important of nature conservation.
0,International Organization Research,Middle class,19,,0.8035,Give me a title similar to slim and smart
0,International Organization Research,Middle class,20,,0.7878,"I'm looking for alternative words for ""siren"", something that feels mystical, magic, archaic and relates to song. Could you please provide a long list of alternatives, including translations from other languages that might fit the bill?"
0,International Organization Research,Upper class,1,,0.9648,"WRITE A COMPlete seo description for a youtube video. each different based on the titles below. ensure to add relevant keywords related to the description.  1:brian cox on the big bang  2:facts about glise436b  3:facts about pusegaon windmill    YouTube Video Description Ideas: 1. Brian Cox on the Big Bang  Unravel the mysteries of the universe with renowned physicist Brian Cox! Dive deep into the Big Bang theory, exploring its origins, groundbreaking research, and ongoing questions.  In this video, you'll discover:  The mind-blowing concept of the Big Bang: How did everything begin from an infinitely tiny point? Scientific evidence: Unveiling the cosmic microwave background radiation and other clues to the early universe. The latest theories: Exploring the mysteries of inflation, dark matter, and the nature of time itself. Engaging insights from Brian Cox: Learn from one of the world's leading cosmologists! If you're curious about the beginning of everything, this video is a must-watch!  #BigBang #BrianCox #Cosmology #SpaceExploration #Universe"
0,International Organization Research,Upper class,2,,0.923,"Imagine you are running a laundry business, In a few sentences, please explain the type of business venture that you are running...   For example, what kinds of products and services do you sell? Who do you sell to? Are you the founder or co-founder?"
0,International Organization Research,Upper class,3,,0.9034,"Sorry, I meant something similar to the aspect of the matrix where they uncover a deep secret about the world.  I don't want just cyberpunk.  The technology or sci fi aspect is not important."
0,International Organization Research,Upper class,4,,0.9034,"In a few sentences, please explain the type of business venture that you are running...  For example, what kinds of products and services do you sell? Who do you sell to? Are you the founder or co-founder?"
0,International Organization Research,Upper class,5,,0.8837,"By age 19, just under 20% of students have not achieved a grade 4+ in GCSE Maths. Why do you think this is? * 11. How do you think we should best support students who do not achieve a grade 4+ at GCSE Maths in year 11? *"
0,International Organization Research,Upper class,6,,0.8705,Please summarize the key industry trends and observations around the Business Process Outsourcing industry (BPO)
0,International Organization Research,Upper class,7,,0.8539,"What is your plan for improving professionalism, ethics, and inclusion in your college career?"
0,International Organization Research,Upper class,8,,0.8331,"You notice a stock has been rising rapidly due to positive market sentiment but is approaching an overbought level on technical indicators. What should you do?  Buy more shares to capitalize on the momentum.  Reassess the stock based on technical and fundamental analysis.  Immediately sell the stock to lock in profits.  Wait for the stock to peak, then decide."
0,International Organization Research,Upper class,9,,0.8328,9. Around 40% of pupils do not achieve a grade 4+ in GCSE Maths in year 11. Around half of these go on to gain a grade 4+ in GCSE Maths by age 19. Why do you think 20% reach this standard in 16-19 education but not in secondary education? *
0,International Organization Research,Upper class,10,,0.8324,How should a tech company implement wellness programs to ensure long-term success
0,International Organization Research,Upper class,11,,0.8324,Can you give me all the books you've mentioned in a similar format to the above?  And order them by their rating please.
0,International Organization Research,Upper class,12,,0.8324,"Based on your knowledge, what do you think of the current U.S economy, and what is your prediction of the rate of inflation in the next 12 months?"
0,International Organization Research,Upper class,13,,0.8324,Example of expanded noun phrase (child's homework)
0,International Organization Research,Upper class,14,,0.8324,"Secret societies but not like da vinci code.  I also thought the form was too predictable.  Only fiction, too.  Do you have other suggestions?"
0,International Organization Research,Upper class,15,,0.8186,"Imagine that one of your close friends is interested in applying for a job at PrecisionCraft Innovations (the company described in the scenario), and they ask you to honestly describe your thoughts and experiences at the company. Please write below exactly what you would say to your friend (at least 3-5 sentences)."
0,International Organization Research,Upper class,16,,0.816,"WRITE A VIDEO DESCRPTION FOR THIS TITLE. Alien Rainfall: Investigating Weather Patterns on Other Worlds. INCLUDE EVERY RELEVANT KEYWORD TO RANK FOR SEO    Video Description: Alien Rainfall: Investigating Weather Patterns on Other Worlds  Embark on a cosmic journey to explore the extraordinary phenomenon of alien rainfall! 🌧️🚀 Discover the mind-boggling diversity of weather patterns across distant planets and moons. From scorching acid rain on Venus to methane showers on Titan, we delve into the scientific intricacies of extraterrestrial precipitation.  Uncover the latest research on exoplanet atmospheres, cloud formation, and hydrological cycles. Explore the potential for life-sustaining water on alien worlds and the implications for future space exploration.  Join us as we unravel the secrets of alien rainfall and expand our understanding of the universe. 🌌  #AlienRainfall #Exoplanets #SpaceWeather #Astrophysics #Cosmology #SpaceExploration #Science #Astronomy #ExtraterrestrialLife #WaterWorlds #ClimateChange #ClimateScience #NASA #ESA #JPL #SpaceX  Keywords: alien rain, extraterrestrial weather, exoplanet atmosphere, space weather, climate on other planets, alien world hydrology, astrophysics, cosmology, space exploration, alien life, water in space, climate science, NASA, ESA, JPL, SpaceX"
0,International Organization Research,Upper class,17,,0.8035,How would you explain machine learning to someone who isn’t into tech stuff?
0,International Organization Research,Upper class,18,,0.8035,can you summarize noel carrol's thoughts on the monstrous for an IB film student
0,International Organization Research,Upper class,19,,0.8035,Elementary Library Lesson Plan incorporating State of Tennessee objectives
0,International Organization Research,Upper class,20,,0.8035,How would you explain machine learning to someone without a tech background?
1,Creative Image Generation,Lower class,1,4.0,0.8405,"What are some interesting looking rocks, minerals, and cheap semi-precious stones?"
1,Creative Image Generation,Lower class,2,6.0,0.87,Can you please make me an image of the cute Ninja Cat in a steampunk style world doing battle with a steampunk supervillain
1,Creative Image Generation,Lower class,3,8.0,0.8405,Please create an image of a campfire next to an alpine lake. The lake is very small and it is nearing sunset.
1,Creative Image Generation,Lower class,4,13.0,0.82,"T5MTDIH Thumbnails: ""Top 5"" displayed in large bold lettering in the exact CENTER of both the x and y axis"
1,Creative Image Generation,Lower class,5,18.0,0.82,"what is carbonic maceration, who is behind it, and what are semi-carbonic maceration and variations"
1,Creative Image Generation,Lower class,6,19.0,0.8568,"In a basket of 60 apples that are either green or red, green apples are only 1/3 as common as red apples. How many apples are green?"
1,Creative Image Generation,Lower class,7,21.0,0.82,Image of a blue chinese dragon with silver scales
1,Creative Image Generation,Lower class,8,23.0,0.82,"If 3 chefs can bake 3 cakes in 1 hour, how many chefs are needed to bake 6 cakes in 2 hours?"
1,Creative Image Generation,Lower class,9,,0.9559,"** Additional Thumbnail Requirements ** TDIH Thumbnails: ""This Day in History"" in large bold lettering displaying in the very center of the image TDIAH THumbnails: ""This Day in Ancient History"" in large bold lettering displaying in the very center of the image T5STDIH Thumbnails: ""Top 5"" displayed in large bold lettering in the exact CENTER of both the x and y axis T5MTDIH Thumbnails: ""Top 5"" displayed in large bold lettering in the exact CENTER of both the x and y axis"
1,Creative Image Generation,Lower class,10,,0.9544,"** Additional Thumbnail Requirements ** TDIH Thumbnails: ""This Day in History"" in large bold lettering displaying in the exact CENTER of both the x and y axis TDIAH THumbnails: ""This Day in Ancient History"" in large bold lettering displaying in the exact CENTER of both the x and y axis T5STDIH Thumbnails: ""Top 5"" displayed in large bold lettering in the exact CENTER of both the x and y axis T5MTDIH Thumbnails: ""Top 5"" displayed in large bold lettering in the exact CENTER of both the x and y axis"
1,Creative Image Generation,Lower class,11,,0.9381,"Thanks! Can you please make me another image but with a different steampunk supervillain, also include another Ninja Cat (wearing a blue ninja outfit) & a cute female Ninja Cat (wearing a pink Ninja outfit) that are helping our main protagonist (who is wearing a black ninja outfit & dual wielding steampunk ninja swords. Make one of the Ninja swords styled like a Tesla Coil that is electrically charged. Make his other ninja sword appear as both a gun and a blade, a steampunk ""Gunblade"")"
1,Creative Image Generation,Lower class,12,,0.9135,4. **Thumbnail Color-Tone Requirements**:    - **TDIH (This Day in History at a Glance)** → Yellow tone    - **TDIAH (This Day in Ancient History)** → Terra cotta tone    - **T5STDIH (Top 5 Songs This Day in History)** → Purple tone    - **T5WRTDIH (Top 5 World Records This Day in History)** → Blue tone    - **T5MTDIH (Top 5 Movies This Day in History)** → Red tone
1,Creative Image Generation,Lower class,13,,0.9116,"Please make me an image of many cute hamsters in brightly colored ninja outfits & holding various weaponry like shuriken (ninja stars), nunchucks, some have a bow & flaming arrows. Some of the Ninja Hamsters are perched up in the trees with bows & flaming arrows. Another group of the Ninja Hamsters are on the ground & starting to emerge from the forest that borders the fortress of their rivals, the Gerbils, who are oppressive & militant group. The Cute Ninja Hamsters are preparing to do battle with the cute gerbils' elite special forces who guard & protect the Gerbil Fortress & the Gerbil Emperor that lives in the Fortress. The Gerbil Elite Guards are wearing elite military-type uniforms & some are holding riot shields & police batons while others wield other types of weaponry like swords, spears, Gerbil pellet launchers that look similar to crossbows. There's an incredibly tall stone tower that lies inside the inner walls of the Fortress with a spiral staircase that wraps around the outside of the tower. Draw a few cute ""Sorcerer Gerbils"" on the spiral staircase that are dressed in wizard type outfits with pointy hats. Some of the Wizard Gerbils should have magical staffs & be casting spells & shooting lightning bolts like arrows at the approaching cute Ninja Hamsters. A couple of the trees should be on fire from the Wizard Gerbils' lightning bolt projectiles."
1,Creative Image Generation,Lower class,14,,0.8568,Jack can drink a bottle of cider in 6 days. Jill can drink a bottle of cider in 12 days. How long would it take them if they were drinking from the same bottle?
1,Creative Image Generation,Lower class,15,,0.8479,"Now please describe using creative writing skills in first person from a male perspective, the walk through the entrance of the Luxor Hotel, through the casino, and up to the hotel room.   Additional details, it's nighttime during the summer."
1,Creative Image Generation,Lower class,16,,0.8405,We are looking for some ideas for new types of scented candles that are creative and novel. Please write 5 - 8 creative ideas for new candle scents
1,Creative Image Generation,Lower class,17,,0.8281,"Thanks, please make me an image of the Ninja Cat happily shoveling snow in a whimsical art style. Include a family of cute & funnily dressed ""snowmen"" built in his yard in the background. Also show some cute animals watching the Ninja Cat shovel"
1,Creative Image Generation,Lower class,18,,0.7936,a good band name for a robot artificer and a dinosaur poet
1,Creative Image Generation,Lower class,19,,0.7936,"What can I make with leftover barbacoa, tortilla chips and cheese"
1,Creative Image Generation,Lower class,20,,0.7936,Generate me some tablature of prog metal riffs
1,Creative Image Generation,Middle class,1,7.0,0.8405,"If the core of a star collapses, it can either form a black hole or a neutron star."
1,Creative Image Generation,Middle class,2,9.0,0.8405,design me a birthday card of a guitarist playing in a black hole
1,Creative Image Generation,Middle class,3,,0.8507,"help me find a recipe for dinner with the follow ingredients, it does not need to include every ingredient: rice noodles, shrimp, garlic, onion, ginger, miso paste, oyster sauce, soy sauce, rice vinegar, coconut milk, chili powder, cayenne powder, chili oil"
1,Creative Image Generation,Middle class,4,,0.8432,"Please describe the scene, characters, or provide details you remember about the movie so I can help identify it!        You said: (0:03) I should have insisted that she stay home. (0:05) Remorse will get you nowhere. (0:06) My wife is dead. (0:07) Wake up! (0:09) People are dying all around you. (0:11) You're not the only one to suffer a loss. (0:13) When you're dead, you're dead. (0:16) Now it's time to get this boy to the giant before we're all so much dead meat. (0:19) No, you keep away from him. (0:21) This is no time to be soft-hearted. (0:23) He's going to the giant and I'm taking it. (0:25) Jess! (0:26) Jess, he's the one to blame! (0:28) It's because of you there's a giant in our midst and my wife is dead. (0:32) But it isn't my fault he was given those beans. (0:35) You persuaded me to trade away my cow for beans. (0:37) And without those beans, there'd have been no stalk to get up to the giant in the first place. (0:41) Wait a minute. (0:41) Magic beans for a cow so old that you had to tell a lie, sell it what you told. (0:45) Were they worthless beans? (0:46) Were they oversold? (0:47) Or tell us who persuaded you to steal that gold? (0:49) See, it's your fault. (0:50) No. (0:50) So it's your fault. (0:51) No. (0:51) Yes, it is. (0:52) It's not. (0:52) It's true. (0:53) Wait a minute. (0:54) But I only stole the gold to get my cow back from you. (0:56) So it's your fault. (0:57) Yes. (0:57) No, it isn't. (0:58) I'd have kept those beans, but our house was cursed. (1:00) She made us get a cow to get the curse reversed. (1:02) It's your father's fault that the curse got placed. (1:04) And the place got cursed in the first place. (1:06) Oh, see, it's his fault. (1:07) So. (1:07) It was his fault. (1:08) No. (1:08) Yes, it is. (1:09) It's his. (1:09) I guess. (1:10) Wait a minute, though. (1:10) I chopped on the beanstalk, right? (1:12) That's clear. (1:12) But without any beanstalk, then what's queer is how did the second giant get down here in the first place? (1:17) Second place. (1:18) Yes. (1:18) How? (1:19) Well, who had the other bean? (1:20) The other bean. (1:21) You pocketed the other bean. (1:22) I didn't. (1:22) Yes, I did. (1:23) So it's yours. (1:23) No, it isn't, because I gave it to my wife. (1:25) So it's yours. (1:25) No, it isn't. (1:26) So it isn't. (1:26) Wait a minute. (1:27) She exchanged that bean to obtain your shoe. (1:29) So the one who knows what happened to the bean is you. (1:31) You mean that old bean that's your wife? (1:33) Oh, dear. (1:33) But I never knew. (1:34) And so I threw it down. (1:35) Look here. (1:35) So it's your fault. (1:36) But. (1:36) See, it's her fault. (1:37) But. (1:37) And it isn't mine at all. (1:39) But what? (1:39) So if you hadn't gone back up again. (1:41) You were needed. (1:42) You were greeted. (1:43) Did you need that hand? (1:44) But I got it from my m"
1,Creative Image Generation,Middle class,5,,0.8317,"[7/9, 1:42 AM] Thirdborn: Characteristic of metamorphic rock [7/9, 1:42 AM] Meta AI: Metamorphic rocks are formed when existing rocks are transformed by heat, pressure, and chemical reactions. Some common characteristics of metamorphic rocks include:  1. Foliation: Layered or banded structure due to the alignment of minerals. 2. Non-foliation: No layered structure, with minerals distributed randomly. 3. Mineral composition: New minerals form during metamorphism, such as quartz, feldspar, and mica. 4. Texture: Can range from fine-grained to coarse-grained, depending on the level of metamorphism. 5. Hardness: Generally harder than the original rock due to increased pressure and temperature. 6. Density: Can increase or decrease depending on the minerals present. 7. Color: Can change due to the formation of new minerals or the alteration of existing ones.  Examples of metamorphic rocks include marble, slate, quartzite, and gneiss. Let me know if you have any other questions!"
1,Creative Image Generation,Middle class,6,,0.7963,"A box contains 3 blue pencils, 4 red pencils, and 3 white pencils. If I shake the box up and take one out, what are the chances that I will pull out a red pencil?"
1,Creative Image Generation,Middle class,7,,0.7936,design my name with a witch background with lots purple images and objects
1,Creative Image Generation,Middle class,8,,0.7936,Compose a sweet  happy birthday message for mum
1,Creative Image Generation,Middle class,9,,0.773,"can I reply to: Ellae I’ve seen Arcs talked about quite a bit lately and really want to check it out! We’ve been into Calico, River Valley Glassworks, and Azul a lot lately but Parks, Terraforming Mars, Earth, and Cascadia are in our regular rotation too!  Last Sunday we pulled Flamecraft out again - always enjoy that one! It’s nice to see a fellow boardgamer on here!   With  Ashley T I love finding fellow boardgamers in the wild!  Not tried River Valley Glassworks but I see it is on BGA so might give it a try there!"
1,Creative Image Generation,Middle class,10,,0.758,What role do enzymes play in biochemical reactions?
1,Creative Image Generation,Middle class,11,,0.758,Generate a creative story about a dog lost in the woods.
1,Creative Image Generation,Middle class,12,,0.7268,The explosion of the outer shell of a star that happens due to its core collapsing is called a supernova.
1,Creative Image Generation,Middle class,13,,0.7075,What seeds do best with winter sowing?
1,Creative Image Generation,Middle class,14,,0.7075,Please talk to me about  Nordic history and their old norse Gods
1,Creative Image Generation,Middle class,15,,0.7075,"I've had many tears and sorrow, give me the lyrics"
1,Creative Image Generation,Middle class,16,,0.7075,Please explain to me how chords work in music
1,Creative Image Generation,Middle class,17,,0.7075,"Check out “ I’ve got a million jokes, but I’d rather hear your smile. Get well soon so that I can see it in person"
1,Creative Image Generation,Middle class,18,,0.7075,provide the recipe for velvet cupcakes
1,Creative Image Generation,Middle class,19,,0.7075,What was the significance of the Magna Carta in English history?
1,Creative Image Generation,Middle class,20,,0.7075,Plan my train journey from Sheffield to St Neots
1,Creative Image Generation,Upper class,1,1.0,0.8983,"I have kamado joe paella pan, jumbo shrimp, saffron, spanish rice, paella broth, onion, garlic, how do i cook seafood paella on kamado joe"
1,Creative Image Generation,Upper class,2,3.0,0.87,"name of british tradition of a meal eaten in the late afternoon or early evening typically consisting of a hot dish, bread and butter, and tea"
1,Creative Image Generation,Upper class,3,11.0,0.82,What carb for chicken noodle sauce when recovering from norovirus
1,Creative Image Generation,Upper class,4,,0.7774,"Name of the british tradition of a meal usually consisting of fried egg and bacon, beans and toast, served at the start of the day"
1,Creative Image Generation,Upper class,5,,0.758,What’s a good recipe for a vegan chocolate cake?
1,Creative Image Generation,Upper class,6,,0.758,Is the next hurricane season supposed to be active?
1,Creative Image Generation,Upper class,7,,0.758,Advert plan on water bottle
1,Creative Image Generation,Upper class,8,,0.758,Name of the british Explorer who was the first to circumnavigate the globe
1,Creative Image Generation,Upper class,9,,0.758,Do you have a quick and healthy dinner recipe for two?
1,Creative Image Generation,Upper class,10,,0.758,"Can you share a quick, healthy dinner recipe for two?"
1,Creative Image Generation,Upper class,11,,0.758,in kardemena in Kos are they any ancient greek ruins nearby to visit?
1,Creative Image Generation,Upper class,12,,0.7547,Write me a 4 day meal plan for low FODMAP diet that has a mixture of vegetarian and meat based meals
1,Creative Image Generation,Upper class,13,,0.7075,Any ideas for spinach on sandwiches/burgers?
1,Creative Image Generation,Upper class,14,,0.7075,Could you help me create a weekly meal plan?
1,Creative Image Generation,Upper class,15,,0.7075,what type of drink is english breakfast
1,Creative Image Generation,Upper class,16,,0.7075,can dogs see colors or just black and white
1,Creative Image Generation,Upper class,17,,0.7075,What are disadvantages to buying old Victorian house
1,Creative Image Generation,Upper class,18,,0.7075,"What does the term ""pip"" represent in forex trading?"
1,Creative Image Generation,Upper class,19,,0.7075,how to lose weight when lazy
1,Creative Image Generation,Upper class,20,,0.6918,Why does the wheat bread taste so weird at my college cafeteria
